Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
0.984555,0.000250606,0.019524,0.0193835,0.952702,0.984534,1.0166,6083.98,6728.28,0.999894
0.966589,0.000294285,0.0226751,0.0225133,0.929651,0.966434,1.0036,5945.14,6441.36,0.999878
0.978709,0.000254892,0.0200205,0.0198794,0.945989,0.97867,1.01156,6179.97,6629.65,0.999866
1.02834,0.000129007,0.0113168,0.0111936,1.01006,1.02812,1.0476,7761.61,7295.18,1.0001
1.02742,0.000128689,0.0114434,0.0114383,1.00893,1.02721,1.04688,7970.56,7338.09,1.00002
1.00488,0.00020858,0.0164973,0.016207,0.977871,1.00506,1.03182,6277.58,7131.65,0.999947
1.00488,0.00020858,0.0164973,0.016207,0.977871,1.00506,1.03182,6277.58,7131.65,0.999947
0.989934,0.000256948,0.019678,0.019322,0.957636,0.989984,1.02225,5878.62,6662.22,0.999818
0.966338,0.000302799,0.0231229,0.0229299,0.92859,0.966082,1.00425,5840.16,6506.71,0.999918
0.99826,0.000177005,0.0150428,0.0148186,0.973894,0.998161,1.02299,7258.29,7326.52,1.00022
1.01201,0.000145425,0.0128572,0.0127429,0.991119,1.01187,1.03385,7850.14,7672.9,1.00031
1.01871,0.0001364,0.0121295,0.0121128,0.998999,1.01847,1.03933,7952.52,7078.4,1.00032
1.01557,0.000158073,0.0133642,0.0132026,0.993781,1.0156,1.0378,7188.92,7318.84,1.00006
1.00737,0.000208194,0.0164126,0.0161737,0.980481,1.00754,1.03423,6232.77,7164.49,0.999928
0.984833,0.000264284,0.020257,0.0200307,0.951726,0.984822,1.01812,5889.42,6703.26,0.999883
0.969944,0.000280897,0.0218117,0.0217638,0.934357,0.969676,1.00566,6039.11,6496.0,0.999895
1.02725,0.00013199,0.0114117,0.0112529,1.0087,1.02705,1.04655,7548.21,7131.94,1.00011
1.02605,0.000129867,0.0114715,0.0113641,1.00752,1.02582,1.04551,7867.95,7029.32,1.00009
1.00888,0.000202376,0.0160388,0.0158394,0.982626,1.00907,1.03519,6301.38,7267.79,0.999921
0.983094,0.000337758,0.0245504,0.0244266,0.942694,0.983267,1.02342,5282.07,6292.87,0.999986
0.981747,0.000262393,0.0202741,0.0200529,0.948575,0.981743,1.01512,5982.27,6700.05,0.999866
0.974206,0.000264602,0.0207533,0.0207705,0.940225,0.974031,1.00828,6160.65,6696.17,0.999886
0.966839,0.00028195,0.022045,0.0218743,0.93091,0.966519,1.00326,6124.16,6507.99,0.999915
0.967562,0.00028787,0.0222969,0.0221308,0.931315,0.967335,1.00414,6009.19,6535.87,0.999869
1.02621,0.000131737,0.011466,0.0113271,1.00759,1.02602,1.04571,7640.96,7131.94,1.00009
1.02621,0.000131737,0.011466,0.0113271,1.00759,1.02602,1.04571,7640.96,7131.94,1.00009
1.03056,0.000127319,0.0111863,0.011075,1.01248,1.03034,1.04948,7790.42,7159.96,1.00012
1.03056,0.000127319,0.0111863,0.011075,1.01248,1.03034,1.04948,7790.42,7159.96,1.00012
1.03619,0.000159835,0.0121106,0.0118608,1.01658,1.03607,1.05622,5839.38,7076.75,1.00044
0.963338,0.000323019,0.0243241,0.024096,0.923312,0.963014,1.00339,5679.93,6507.95,0.99991
0.961853,0.000317847,0.0241338,0.0238943,0.922399,0.961566,1.00135,5772.7,6450.92,0.999952
0.986403,0.000221989,0.017942,0.0179105,0.95709,0.986441,1.0159,6541.73,6821.2,1.00006
1.00374,0.000162368,0.0140434,0.0139068,0.981029,1.0037,1.02711,7528.87,6959.34,1.00022
1.02174,0.000133421,0.011784,0.011757,1.00254,1.02147,1.04179,7853.32,6787.38,1.00017
1.02965,0.000131194,0.0112763,0.0111417,1.01132,1.02944,1.04863,7459.77,6834.17,1.00016
1.02965,0.000131194,0.0112763,0.0111417,1.01132,1.02944,1.04863,7459.77,6834.17,1.00016
1.02773,0.000128563,0.0113654,0.0111936,1.00933,1.02749,1.04714,7877.71,7345.16,1.00006
1.02773,0.000128563,0.0113654,0.0111936,1.00933,1.02749,1.04714,7877.71,7345.16,1.00006
1.01571,0.000157741,0.0133418,0.0131803,0.993977,1.01574,1.03791,7196.56,7319.95,1.00006
1.00446,0.000192966,0.0156277,0.0153004,0.978881,1.00455,1.03028,6577.78,7150.19,1.00009
0.995227,0.000193564,0.0160777,0.0159305,0.96917,0.995183,1.02173,6866.57,7044.21,1.00014
0.995227,0.000193564,0.0160777,0.0159305,0.96917,0.995183,1.02173,6866.57,7044.21,1.00014
0.981894,0.000212194,0.0177312,0.0177408,0.95317,0.98176,1.01103,7004.19,6902.08,1.0003
0.975721,0.00023429,0.0191809,0.0191396,0.944616,0.975552,1.00734,6716.14,6842.1,1.00006
0.975721,0.00023429,0.0191809,0.0191396,0.944616,0.975552,1.00734,6716.14,6842.1,1.00006
1.00405,0.000157619,0.0138026,0.0136036,0.981782,1.00401,1.0272,7698.33,7224.16,1.00036
1.01234,0.000142108,0.0126514,0.0126466,0.991768,1.01204,1.03396,7963.16,7443.86,1.00052
1.01234,0.000142108,0.0126514,0.0126466,0.991768,1.01204,1.03396,7963.16,7443.86,1.00052
1.02229,0.000133154,0.0117397,0.0116903,1.00326,1.02206,1.04226,7820.87,7151.6,1.00011
1.02403,0.000131115,0.0116377,0.0115939,1.00515,1.0238,1.04371,7942.4,7103.52,1.00011
1.02403,0.000131115,0.0116377,0.0115939,1.00515,1.0238,1.04371,7942.4,7103.52,1.00011
1.02696,0.00013261,0.0114383,0.0113122,1.0084,1.02676,1.04632,7511.15,7226.78,1.00012
1.02696,0.00013261,0.0114383,0.0113122,1.0084,1.02676,1.04632,7511.15,7226.78,1.00012
0.96237,0.000325164,0.0244842,0.0242642,0.922216,0.962069,1.00253,5679.55,6535.56,0.999943
0.96237,0.000325164,0.0244842,0.0242642,0.922216,0.962069,1.00253,5679.55,6535.56,0.999943
0.967677,0.000289469,0.022371,0.0222182,0.931295,0.967456,1.00424,5982.79,6440.88,0.999871
0.981286,0.000244114,0.0193355,0.019216,0.949615,0.981272,1.01321,6281.02,6543.93,0.999865
0.99465,0.000208512,0.0168488,0.01668,0.967071,0.994606,1.02232,6545.31,7095.45,1.00014
0.99465,0.000208512,0.0168488,0.01668,0.967071,0.994606,1.02232,6545.31,7095.45,1.00014
1.00886,0.000168851,0.0141629,0.0139646,0.985807,1.0089,1.03235,7069.76,7124.9,1.0001
1.02378,0.000131731,0.011717,0.0116532,1.00478,1.02353,1.0437,7971.49,7095.89,1.0001
1.02378,0.000131731,0.011717,0.0116532,1.00478,1.02353,1.0437,7971.49,7095.89,1.0001
1.02917,0.000132384,0.0113222,0.0111788,1.01081,1.02899,1.04825,7393.24,7040.72,1.00016
1.02917,0.000132384,0.0113222,0.0111788,1.01081,1.02899,1.04825,7393.24,7040.72,1.00016
0.993604,0.000245741,0.0189335,0.0185733,0.962635,0.993619,1.0246,5950.62,6842.11,0.999854
0.963268,0.000307817,0.0235456,0.0233154,0.924891,0.963018,1.00168,5859.01,6451.82,0.999939
0.967519,0.00029366,0.0225923,0.0224614,0.930714,0.967329,1.00436,5928.11,6591.37,0.999877
0.975139,0.000273479,0.0211603,0.0210136,0.940632,0.97505,1.00985,5997.37,6754.46,0.999815
1.01096,0.000155283,0.0133622,0.0132248,0.989249,1.01093,1.03345,7448.58,7129.85,1.00022
1.01096,0.000155283,0.0133622,0.0132248,0.989249,1.01093,1.03345,7448.58,7129.85,1.00022
1.02402,0.000131535,0.0116111,0.0115346,1.00512,1.0238,1.04365,7849.96,7328.73,1.00009
1.02658,0.000130406,0.0114304,0.0112974,1.00805,1.0264,1.04609,7751.5,7049.76,1.00007
1.0317,0.000133303,0.0112324,0.0110898,1.0135,1.03157,1.05048,7186.91,7076.63,1.00022
