gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7
2.99385,-0.591051,-0.185695,-0.230895,0.0224118,0.0711617,0.0179754
3.16369,-0.61215,-0.146786,-0.240948,0.0221183,0.0685446,0.0108263
2.54554,-0.425028,-0.120778,-0.152439,0.0101665,0.0421847,0.0130632
3.09899,-0.566139,-0.111111,-0.23814,0.0238031,0.0649202,0.00668032
3.28925,-0.610014,-0.120668,-0.264329,0.0279086,0.0704989,0.00519014
3.0905,-0.571085,-0.130637,-0.238425,0.0147221,0.0660547,0.0127154
2.92915,-0.509605,-0.188798,-0.213398,0.0323625,0.0563894,0.0133425
3.07671,-0.575217,-0.118788,-0.234971,0.0280608,0.0662648,0.00521513
2.92484,-0.566873,-0.223259,-0.206253,0.0148698,0.0634959,0.0265824
2.87944,-0.502814,-0.117823,-0.195569,0.016683,0.0517823,0.00900724
2.82385,-0.503495,-0.141725,-0.194108,0.019112,0.0542821,0.0121651
2.8134,-0.472617,-0.132943,-0.198502,0.0233397,0.0529368,0.0113719
3.20632,-0.673509,-0.224577,-0.257581,0.0188398,0.0815382,0.0241227
2.87928,-0.527404,-0.0656209,-0.191537,-0.00019971,0.0529639,0.0074177
3.12722,-0.653573,-0.255914,-0.237265,0.0251373,0.0759008,0.0268274
3.26434,-0.71474,-0.304802,-0.259743,0.0242603,0.0857925,0.033947
3.11735,-0.675459,-0.280372,-0.240864,0.0311468,0.0803028,0.0256814
3.1308,-0.648746,-0.297512,-0.246417,0.0325704,0.0776726,0.0277188
3.12698,-0.656786,-0.292833,-0.251796,0.0388796,0.0807541,0.0256901
3.15636,-0.592029,-0.0817909,-0.240058,0.0190938,0.0662121,0.00347411
2.82924,-0.487039,-0.117937,-0.200898,0.019842,0.0538497,0.00853529
2.82882,-0.49835,-0.152496,-0.200659,0.0231202,0.0556137,0.0125275
2.98862,-0.593086,-0.179295,-0.208226,0.00231283,0.0639246,0.0250213
2.95938,-0.570449,-0.176371,-0.205443,0.00627381,0.0615246,0.0229945
2.74048,-0.456442,-0.133267,-0.200059,0.0350462,0.0550795,0.00640765
2.79244,-0.447537,-0.0670947,-0.192978,0.0198506,0.0463679,-4.17668e-05
