beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.08773,1.86539,-0.227005,-0.0060367,0.138173,-0.188796,0.0649365
1.5142,1.66872,-0.330704,-0.0608032,0.142903,-0.161882,0.0796411
1.44375,1.67972,-0.329924,-0.0598339,0.12634,-0.158572,0.0877757
1.28281,1.81076,-0.0963446,-0.0293896,0.116999,-0.181883,0.0561672
1.29443,1.78949,-0.0987902,-0.017394,0.0995384,-0.183099,0.0643511
1.43905,1.73128,-0.287065,-0.0492986,0.137348,-0.169619,0.076896
1.36605,1.74179,-0.260716,-0.0521244,0.129663,-0.166826,0.0761074
1.32995,1.72329,-0.365869,-0.0245337,0.142314,-0.172834,0.0825728
1.61741,1.66357,-0.226746,-0.066903,0.122726,-0.163539,0.0722053
1.52917,1.70172,-0.202758,-0.0615002,0.115237,-0.165736,0.0738814
1.44645,1.68792,-0.317367,-0.0529215,0.145171,-0.163855,0.0766425
1.53423,1.69823,-0.254423,-0.0698281,0.12703,-0.16323,0.0755654
1.38473,1.7759,-0.238395,-0.0509757,0.13679,-0.174388,0.0672511
1.1684,1.8529,-0.208278,0.0013231,0.117796,-0.191542,0.072845
1.11872,1.8558,-0.201883,-0.00428386,0.124951,-0.187851,0.0675356
0.940787,1.92709,-0.159918,0.03246,0.116617,-0.203356,0.0659456
1.57422,1.65845,-0.278209,-0.0796068,0.13377,-0.155747,0.0755541
1.64889,1.6044,-0.244951,-0.0800255,0.113357,-0.150479,0.0819469
1.3688,1.76617,-0.244338,-0.0451183,0.13957,-0.172118,0.0695403
1.64803,1.66182,-0.309357,-0.0939518,0.149565,-0.155695,0.0732224
1.70208,1.6447,-0.294432,-0.0968888,0.146109,-0.152714,0.0757561
1.68848,1.6321,-0.310486,-0.102938,0.156509,-0.150172,0.0709774
0.940619,1.87197,-0.153129,0.0288152,0.103885,-0.191733,0.0745402
1.6542,1.63697,-0.321362,-0.0840124,0.138562,-0.156159,0.0800088
1.38217,1.71224,-0.220634,-0.0334695,0.116707,-0.170578,0.0744641
1.39787,1.72122,-0.207478,-0.0395104,0.129675,-0.169785,0.0678799
1.4857,1.70176,-0.194686,-0.0420568,0.11403,-0.170018,0.0735937
1.49252,1.68951,-0.219401,-0.07033,0.12043,-0.158718,0.0746997
1.60395,1.64422,-0.229231,-0.0596056,0.118092,-0.16229,0.0752242
1.45684,1.63762,-0.358201,-0.0579677,0.126925,-0.153952,0.0920631
1.39802,1.69648,-0.245629,-0.0441066,0.123585,-0.1662,0.0753898
1.4904,1.69267,-0.192687,-0.0747373,0.128091,-0.159832,0.0653353
1.49451,1.69633,-0.348785,-0.0557888,0.145771,-0.166303,0.0792863
1.46264,1.72684,-0.313347,-0.052388,0.160102,-0.170679,0.0673692
1.17162,1.83072,-0.173364,-0.000555357,0.0960121,-0.188032,0.0781494
1.17438,1.87824,-0.175836,0.0108216,0.117324,-0.200994,0.0655623
1.70717,1.64026,-0.240472,-0.11325,0.126798,-0.148931,0.0739696
1.70445,1.64788,-0.241237,-0.104127,0.129024,-0.15161,0.0745997
1.72133,1.65059,-0.239999,-0.10673,0.128271,-0.153368,0.0723035
1.5294,1.69744,-0.144734,-0.0647549,0.108078,-0.165284,0.0683734
1.51643,1.69539,-0.144424,-0.063587,0.107719,-0.163754,0.0702166
1.32897,1.72205,-0.222062,-0.033025,0.102369,-0.169025,0.0815904
1.59148,1.71052,-0.285158,-0.0835447,0.157749,-0.162825,0.0669935
1.51855,1.71705,-0.243017,-0.0669311,0.129048,-0.167355,0.0703379
1.27233,1.77818,-0.257001,-0.0344287,0.152521,-0.175097,0.0631726
1.22809,1.80343,-0.256119,-0.0457056,0.155547,-0.172161,0.063409
1.60596,1.63239,-0.147797,-0.0655696,0.0952741,-0.157212,0.0759469
1.59939,1.66478,-0.232773,-0.0692118,0.111137,-0.162847,0.0790932
1.67611,1.57786,-0.251757,-0.0905308,0.124195,-0.146112,0.0764476
1.0902,1.82012,-0.241228,-0.000699097,0.138501,-0.183484,0.0683613
1.10628,1.83879,-0.242763,0.00344047,0.134847,-0.188878,0.0676975
1.01606,1.8754,-0.198898,0.00644213,0.123182,-0.190425,0.0672167
1.04682,1.89636,-0.192789,0.00359489,0.12558,-0.192532,0.0682605
1.07573,1.85277,-0.183538,0.0109576,0.120442,-0.1906,0.0682723
1.2217,1.81368,-0.2349,-0.0173197,0.129667,-0.18252,0.07123
1.47549,1.70156,-0.19202,-0.0526857,0.10433,-0.166919,0.0767011
1.53131,1.66406,-0.192077,-0.0560559,0.105964,-0.161992,0.0771664
1.41103,1.75008,-0.166085,-0.0491942,0.123003,-0.172283,0.0645741
0.981322,1.8816,-0.321624,0.0146735,0.137979,-0.191192,0.0810171
1.18218,1.80636,-0.249175,-0.018723,0.132049,-0.179504,0.0725843
1.29124,1.76838,-0.190551,-0.0292567,0.123917,-0.174416,0.0695282
1.29269,1.76377,-0.187426,-0.0303404,0.124623,-0.173866,0.0690032
1.62466,1.64841,-0.315727,-0.0966532,0.16239,-0.149906,0.0713941
1.30668,1.81395,-0.100462,-0.022475,0.103768,-0.18571,0.0624111
1.06565,1.8372,-0.169311,0.00239666,0.127379,-0.185914,0.0614854
1.46148,1.72862,-0.180755,-0.0496076,0.132225,-0.170557,0.0637423
1.45733,1.72543,-0.184383,-0.0503225,0.132317,-0.169925,0.0639705
1.5386,1.68166,-0.316388,-0.0660528,0.137418,-0.163203,0.0795144
1.23353,1.81052,-0.10679,-0.00860408,0.1006,-0.184843,0.0673165
1.65967,1.72139,-0.180892,-0.0823262,0.136279,-0.169053,0.0608492
1.70738,1.63462,-0.239561,-0.101324,0.137163,-0.151818,0.0693291
0.930068,1.89783,-0.152431,0.029703,0.117348,-0.196588,0.0649806
0.949852,1.90178,-0.206954,0.0306548,0.114014,-0.198947,0.0734172
1.56628,1.69698,-0.311962,-0.0782483,0.140246,-0.162445,0.0777339
1.42446,1.71573,-0.176454,-0.0609497,0.128667,-0.162919,0.0651173
1.45421,1.66273,-0.297697,-0.050179,0.135168,-0.159684,0.0804864
1.82816,1.61398,-0.261139,-0.10165,0.126888,-0.154872,0.0780065
